Intents,Is Followup,Total-total,Total-tagged,Total-untagged,Actual-total,Actual-tagged,Actual-untagged,Synth-total,Synth-tagged,Synth-untagged,No. of Entities,Names of Entities,Is Considered for Training,Reason
music_play,NO,3177,2963,214,3177,2963,214,0,0,0,14,"['album_name', 'different', 'similar', 'artist_name', 'mood_activity', 'music_identify', 'youtube', 'song_name', 'new', 'next', 'genre', 'era', 'trending', 'collection_name']",YES,-
followup_movies_showtimes_check_with_friend,YES,548,548,0,548,548,0,0,0,0,6,"['item_reference', 'to', 'theatre_name', 'specific_time', 'specific_date', 'movie_name']",NO,This followup intent is mapped to 2 main intents (more than 1)
followup_movies_showtimes_selection,YES,5086,5071,15,5086,5071,15,0,0,0,11,"['theatre_name', 'item_no', 'specific_time', 'seat_number', 'specific_date', 'num_of_ticket', 'seat_class', 'movie_name', 'vox_countries', 'experience_type', 'item_reference']",YES,-
followup_email_compose_edits_subject_or_body,YES,17030,0,17030,17030,0,17030,0,0,0,0,[],NO,This followup intent is mapped to 5 main intents (more than 1)
followup_email_show_action,YES,30053,30053,0,9,9,0,30044,30044,0,3,"['email_show_action', 'item_no', 'contact']",YES,-
transport_vehicle_request,NO,3113,2822,291,3113,2822,291,0,0,0,8,"['specific_date', 'destination', 'car_type', 'origin', 'before_after', 'specific_time', 'meeting', 'range_time']",YES,-
followup_email_show_book_flight,YES,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_restaurant_search_share,YES,522,488,34,522,488,34,0,0,0,4,"['time_range', 'date', 'time', 'to']",YES,-
business_search_followup_share,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_restaurant_search_favourite,YES,231,0,231,231,0,231,0,0,0,0,[],YES,-
test_restaurant_context,NO,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_email_show_restaurant,YES,0,0,0,0,0,0,0,0,0,0,[],NO,Intents having No. of Records(<100) are Discarded
followup_weather_find,YES,764,708,56,764,708,56,0,0,0,7,"['location', 'specific_date', 'range_date', 'range_time', 'specific_time', 'weather_find_condition', 'unit']",YES,-
